slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
17,0,decoupled_periodic_k=9,0.0,2.0,24,down,left,1.0,0.5,130.0,130.0,190.0,260.0,160.97256207398772,218.8884526526984,158.31271800284512,219.22623272574882,2.681206045894719,8,13.199999999999998,0.801167286396737,0.1988327136032631,2.952966204376403,2.9660673398247366,4.058959228903721,1.092891889078984,0,1,0,20.0,1.5
18,1,decoupled_periodic_k=9,1.0,3.0,23,left,stay,1.0,0.5,120.0,130.0,190.0,260.0,156.3927988536293,216.80034311882463,156.3927988536293,216.80034311882463,0.0,0,3.6,0.9856,0.014400000000000003,3.0094794105113123,3.0094794105113123,4.131624510300024,1.1221450997887117,0,1,0,10.0,1.5
19,0,decoupled_periodic_k=9,0.0,3.0,23,down,stay,1.0,0.5,120.0,120.0,190.0,260.0,151.31566200264544,215.7557580703019,151.8927988536293,215.30034311882463,0.7351800614765219,1,4.8,0.9616458448616778,0.038354155138322174,3.0535558376451886,3.055542945342658,4.146600097101643,1.0910571517589847,0,1,0,10.0,1.5
20,0,decoupled_periodic_k=9,0.0,3.0,23,left,left,1.0,0.5,110.0,120.0,180.0,260.0,147.33593992248785,214.63596605811554,147.3927988536293,213.80034311882463,0.8375551532405104,2,6.0,0.9391155009052089,0.06088449909479115,3.0962102412926935,3.107098251617882,4.170064521343798,1.0629662697259168,0,1,0,20.0,1.5
21,0,decoupled_periodic_k=9,0.0,3.0,23,down,stay,1.0,0.5,110.0,110.0,180.0,260.0,142.37008312738575,213.29847898426226,142.8927988536293,212.30034311882463,1.1267239840951508,3,7.2,0.9161648710357859,0.08383512896421409,3.1103445943043306,3.1201793105281155,4.154631477688514,1.0344521671603986,0,1,0,10.0,1.5
22,0,decoupled_periodic_k=9,0.0,3.0,23,left,stay,1.0,0.5,100.0,110.0,180.0,260.0,137.95176319378427,211.95156100197258,138.3927988536293,210.80034311882463,1.2328077983751509,4,8.4,0.8936261824536559,0.10637381754634409,3.1015345982779747,3.1135932788369463,4.170064521343798,1.0564712425068523,0,1,0,10.0,1.5
23,0,decoupled_periodic_k=9,0.0,3.0,23,down,left,1.0,0.5,100.0,100.0,170.0,260.0,134.06176333834802,210.60807788611487,133.8927988536293,209.30034311882463,1.3186050275484027,5,9.6,0.8711331386880161,0.1288668613119839,3.1048317771341054,3.1230724119422124,4.102908083344084,0.9798356714018716,0,1,0,20.0,1.5
24,0,decoupled_periodic_k=9,0.0,3.0,23,stay,stay,1.0,0.5,100.0,100.0,170.0,260.0,130.03700283249833,209.1553832347571,129.3927988536293,207.80034311882463,1.5003774465703503,6,10.799999999999999,0.8484241507452167,0.1515758492547833,3.0556246078110103,3.078273676578037,4.102908083344084,1.024634406766047,0,1,0,0.0,1.5
25,0,decoupled_periodic_k=9,0.0,3.0,23,stay,left,1.0,0.5,100.0,100.0,160.0,260.0,125.73938641158132,208.09728499284407,124.8927988536293,206.30034311882463,1.9863812805913312,7,11.999999999999998,0.8250306421186695,0.17496935788133047,3.0277741294963785,3.05781121316651,4.0830572440138315,1.0252460308473217,0,1,0,10.0,1.5
26,0,decoupled_periodic_k=9,0.0,3.0,23,stay,left,1.0,0.5,100.0,100.0,150.0,260.0,120.21937733768236,206.37351514139397,120.3927988536293,204.80034311882463,1.5827018780516553,8,13.199999999999998,0.8036389207743838,0.1963610792256162,2.9997537789027433,3.0216894388913538,4.065171878464929,1.0434824395735751,0,1,0,10.0,1.5
27,1,decoupled_periodic_k=9,1.0,4.0,22,stay,stay,1.0,0.5,100.0,100.0,150.0,260.0,115.3901164796774,204.42630064762363,115.3901164796774,204.42630064762363,0.0,0,3.6,0.9856,0.014400000000000003,2.9690602314283323,2.9690602314283323,4.065171878464929,1.0961116470365964,0,1,0,0.0,1.5
28,0,decoupled_periodic_k=9,0.0,4.0,22,stay,left,1.0,0.5,100.0,100.0,140.0,260.0,110.69751690381872,203.9727595654877,110.8901164796774,202.92630064762363,1.064035179586741,1,4.8,0.9609059208459299,0.03909407915407016,2.9455719342592923,2.960605412503491,4.049729983719976,1.089124571216485,0,1,0,10.0,1.5
29,0,decoupled_periodic_k=9,0.0,4.0,22,stay,stay,1.0,0.5,100.0,100.0,140.0,260.0,105.59143512283346,203.15055441370174,106.3901164796774,201.42630064762363,1.900248131061998,2,6.0,0.9367244417051105,0.06327555829488948,2.9032458229174005,2.9264156854739674,4.049729983719976,1.1233142982460085,0,1,0,0.0,1.5
30,0,decoupled_periodic_k=9,0.0,4.0,22,stay,left,1.0,0.5,100.0,100.0,130.0,260.0,99.9134262827024,201.4161348927117,101.8901164796774,199.92630064762363,2.4752596253028125,3,7.2,0.9131306658430687,0.08686933415693134,2.8844160887678583,2.901272337961921,4.037179183454109,1.1359068454921875,0,1,0,10.0,1.5
31,0,decoupled_periodic_k=9,0.0,4.0,22,stay,left,1.0,0.5,100.0,100.0,120.0,260.0,95.5273534282759,200.3264905246632,97.3901164796774,198.42630064762363,2.6609411407376657,4,8.4,0.8904128824333403,0.10958711756665974,2.867063285771448,2.8931058058800065,4.02790782642567,1.1348020205456633,0,1,0,10.0,1.5
32,0,decoupled_periodic_k=9,0.0,4.0,22,stay,stay,1.0,0.5,100.0,100.0,120.0,260.0,91.5252120341309,199.38183358930314,92.8901164796774,196.92630064762363,2.8093782538394176,5,9.6,0.8677788989288613,0.13222110107113869,2.8319042276928807,2.868423634054923,4.02790782642567,1.1594841923707466,0,1,0,0.0,1.5
33,0,decoupled_periodic_k=9,0.0,4.0,22,stay,left,1.0,0.5,100.0,100.0,110.0,260.0,86.781104483557,197.55818733443795,88.3901164796774,195.42630064762363,2.670928761512643,6,10.799999999999999,0.8457904102865965,0.15420958971340343,2.8206674467662056,2.85353355836472,4.02221723490641,1.1686836765416904,0,1,0,10.0,1.5
34,0,decoupled_periodic_k=9,0.0,4.0,22,stay,left,1.0,0.5,100.0,100.0,100.0,260.0,82.881687600437,195.92427430702082,83.8901164796774,193.92630064762363,2.238041006802834,7,11.999999999999998,0.8244644077346936,0.17553559226530635,2.8115952530259976,2.8445432374119806,4.020298533835088,1.1757552964231068,0,1,0,10.0,1.5
35,0,decoupled_periodic_k=9,0.0,4.0,22,stay,stay,1.0,0.5,100.0,100.0,100.0,260.0,77.48870717410045,193.6309732572184,79.3901164796774,192.42630064762363,2.2509094703347,8,13.199999999999998,0.802135453691747,0.19786454630825304,2.785094121032684,2.804771086647299,4.020298533835088,1.215527447187789,0,1,0,0.0,1.5
36,1,decoupled_periodic_k=9,1.0,5.0,21,stay,left,1.0,0.5,100.0,100.0,90.0,260.0,72.34509057389933,192.47898577805603,72.34509057389933,192.47898577805603,0.0,0,3.6,0.9856,0.014400000000000003,2.8111213362128495,2.8111213362128495,4.02221723490641,1.2110958986935605,0,1,0,10.0,1.5
37,0,decoupled_periodic_k=9,0.0,5.0,21,right,left,1.0,0.5,110.0,100.0,80.0,260.0,67.94478858914873,191.46232552590345,67.84509057389933,190.97898577805603,0.4935149502232747,1,4.8,0.9621895913619977,0.03781040863800236,2.8346205300959024,2.8420918572613756,4.013009481484114,1.1709176242227386,0,1,0,20.0,1.5
38,0,decoupled_periodic_k=9,0.0,5.0,21,stay,left,1.0,0.5,110.0,100.0,70.0,260.0,63.14571173671315,190.07330330965715,63.34509057389933,189.47898577805603,0.6268694035332718,2,6.0,0.9395895438420502,0.060410456157949856,2.844006590958665,2.854144061440702,4.0222745736626635,1.1681305122219616,0,1,0,10.0,1.5
39,0,decoupled_periodic_k=9,0.0,5.0,21,stay,down,1.0,0.5,110.0,100.0,70.0,250.0,59.08362501249029,188.35676073185297,58.84509057389933,187.97898577805603,0.4467802525964951,3,7.2,0.9176947444316579,0.08230525556834212,2.8569404621592094,2.8617584663720135,3.968904759505054,1.1071462931330407,0,1,0,10.0,1.5
40,0,decoupled_periodic_k=9,0.0,5.0,21,stay,left,1.0,0.5,110.0,100.0,60.0,250.0,54.90336767878048,186.3934125731063,54.34509057389933,186.47898577805603,0.5647973966298406,4,8.4,0.8951292058575828,0.10487079414241714,2.875675497587992,2.872077970445654,3.983562547984075,1.111484577538421,0,1,0,10.0,1.5
41,0,decoupled_periodic_k=9,0.0,5.0,21,stay,left,1.0,0.5,110.0,100.0,50.0,250.0,50.14922998618493,184.62619604730747,49.84509057389933,184.97898577805603,0.4657911293992921,5,9.6,0.8730519699588516,0.1269480300411484,2.8959452824765033,2.889256785620885,4.001537286315366,1.1122805006944811,0,1,0,10.0,1.5
42,0,decoupled_periodic_k=9,0.0,5.0,21,stay,left,1.0,0.5,110.0,100.0,40.0,250.0,44.8121422342726,183.46707678385738,45.34509057389933,183.47898577805603,0.533081379203691,6,10.799999999999999,0.8506005668967918,0.1493994331032083,2.9172691116211236,2.920292948862902,4.0222745736626635,1.1019816247997616,0,1,0,10.0,1.5
43,0,decoupled_periodic_k=9,0.0,5.0,21,stay,down,1.0,0.5,110.0,100.0,40.0,240.0,39.983560596130694,181.97582266696676,40.84509057389933,181.97898577805603,0.8615357844371785,7,11.999999999999998,0.8275615444850164,0.17243845551498363,2.943249258544685,2.9479487017709634,3.973155685427207,1.025206983656244,0,1,0,10.0,1.5
44,0,decoupled_periodic_k=9,0.0,5.0,21,stay,left,1.0,0.5,110.0,100.0,30.0,240.0,35.82008325736483,180.78839449018773,36.34509057389933,180.47898577805603,0.6093984193922328,8,13.199999999999998,0.8058288535563675,0.1941711464436325,2.973045668533641,2.980344348769388,3.9995864167889907,1.0192420680196028,0,1,0,10.0,1.5
45,1,decoupled_periodic_k=9,1.0,6.0,20,stay,left,1.0,0.5,110.0,100.0,20.0,240.0,31.785852833645777,179.21945465103113,31.785852833645777,179.21945465103113,0.0,0,3.6,0.9856,0.014400000000000003,3.006065080158206,3.006065080158206,4.02770979214554,1.0216447119873344,0,1,0,10.0,1.5
46,0,decoupled_periodic_k=9,0.0,6.0,20,stay,stay,1.0,0.5,110.0,100.0,20.0,240.0,26.989544015214868,177.66365190339664,27.285852833645777,177.71945465103113,0.3015175990277839,1,4.8,0.9626215854021875,0.03737841459781251,3.018821432354406,3.020148296379687,4.02770979214554,1.0075614957658534,0,1,0,0.0,1.5
47,0,decoupled_periodic_k=9,0.0,6.0,20,stay,left,1.0,0.5,110.0,100.0,10.0,240.0,21.308409911444247,175.1506731727005,22.785852833645777,176.21945465103113,1.8234942930500255,2,6.0,0.9368971378406374,0.06310286215936256,3.051345682891724,3.049522506671515,4.056869480685464,1.0073469740139485,0,1,0,10.0,1.5
48,0,decoupled_periodic_k=9,0.0,6.0,20,stay,down,1.0,0.5,110.0,100.0,10.0,230.0,15.882520182796165,172.95260039337947,18.285852833645777,174.71945465103113,2.9829149834384507,3,7.2,0.9119884412872634,0.08801155871273653,3.0898261957439965,3.08706285953674,4.01674699318122,0.9296841336444801,0,1,0,10.0,1.5
49,0,decoupled_periodic_k=9,0.0,6.0,20,stay,left,1.0,0.5,110.0,100.0,0.0,230.0,11.662362141502571,170.81876505462742,13.785852833645777,173.21945465103113,3.2050777303990348,4,8.4,0.8891885751066022,0.11081142489339783,3.1280482751548186,3.1184726658760997,4.050248595716517,0.9317759298404169,0,1,0,10.0,1.5
50,0,decoupled_periodic_k=9,0.0,6.0,20,stay,stay,1.0,0.5,110.0,100.0,0.0,230.0,6.897648353674999,170.22822486307766,9.285852833645777,171.71945465103113,2.8155438051346757,5,9.6,0.867765026438447,0.132234973561553,3.145330190266426,3.146651100260851,4.050248595716517,0.9035974954556658,0,1,0,0.0,1.5
51,0,decoupled_periodic_k=9,0.0,6.0,20,stay,stay,1.0,0.5,110.0,100.0,0.0,230.0,2.1482635739320006,169.24448576100463,4.785852833645777,170.21945465103113,2.8120173256004266,6,10.799999999999999,0.845472961017399,0.15452703898260095,3.160913503060957,3.1683139318508653,4.050248595716517,0.8819346638656516,0,1,0,0.0,1.5
52,0,decoupled_periodic_k=9,0.0,6.0,20,stay,stay,1.0,0.5,110.0,100.0,0.0,230.0,0.0,167.60067947049728,0.2858528336457766,168.71945465103113,1.154716305887233,7,11.999999999999998,0.8269018883117538,0.17309811168824624,3.174838303555304,3.165500387037168,4.050248595716517,0.8847482086793489,0,1,0,0.0,1.5
53,0,decoupled_periodic_k=9,0.0,6.0,20,stay,down,1.0,0.5,110.0,100.0,0.0,220.0,0.0,165.86335631736688,0.0,167.21945465103113,1.3560983336642494,8,13.199999999999998,0.8041487787492555,0.19585122125074453,3.1824360145900057,3.170026274413081,4.013009481484114,0.8429832070710329,0,1,0,10.0,1.5
54,1,decoupled_periodic_k=9,1.0,7.0,19,stay,stay,1.0,0.5,110.0,100.0,0.0,220.0,0.0,163.15423202113223,0.0,163.15423202113223,0.0,0,3.6,0.9856,0.014400000000000003,3.144757664217452,3.144757664217452,4.013009481484114,0.8682518172666625,0,1,0,0.0,1.5
55,0,decoupled_periodic_k=9,0.0,7.0,19,stay,stay,1.0,0.5,110.0,100.0,0.0,220.0,0.0,161.82064694276482,0.0,161.65423202113223,0.16641492163259386,1,4.8,0.9629255664263267,0.037074433573673335,3.1305066305980915,3.1320964772610087,4.013009481484114,0.8809130042231054,0,1,0,0.0,1.5
56,0,decoupled_periodic_k=9,0.0,7.0,19,right,stay,1.0,0.5,120.0,100.0,0.0,220.0,0.0,159.3084064446929,0.0,160.15423202113223,0.8458255764393243,2,6.0,0.9390968924530115,0.06090310754698847,3.1363386590387754,3.128798244747395,3.9692105258503854,0.8404122811029904,0,1,0,10.0,1.5
57,0,decoupled_periodic_k=9,0.0,7.0,19,stay,stay,1.0,0.5,120.0,100.0,0.0,220.0,0.0,157.43776154834825,0.0,158.65423202113223,1.216470472783982,3,7.2,0.915962941436236,0.08403705856376396,3.1229323751327915,3.1119480353306646,3.9692105258503854,0.8572624905197209,0,1,0,0.0,1.5
58,0,decoupled_periodic_k=9,0.0,7.0,19,stay,stay,1.0,0.5,120.0,100.0,0.0,220.0,0.0,155.95305805021465,0.0,157.15423202113223,1.20117397091758,4,8.4,0.8936973585654354,0.10630264143456455,3.109373923942179,3.0984121995083003,3.9692105258503854,0.8707983263420853,0,1,0,0.0,1.5
59,0,decoupled_periodic_k=9,0.0,7.0,19,stay,down,1.0,0.5,120.0,100.0,0.0,210.0,0.0,154.28550911098353,0.0,155.65423202113223,1.3687229101487048,5,9.6,0.8710203734521654,0.12897962654783457,3.115906419895805,3.10443841595212,3.931540913943227,0.8271024979911069,0,1,0,10.0,1.5
60,0,decoupled_periodic_k=9,0.0,7.0,19,stay,stay,1.0,0.5,120.0,100.0,0.0,210.0,0.0,152.91100205545294,0.0,154.15423202113223,1.2432299656792907,6,10.799999999999999,0.8490027325772216,0.1509972674227784,3.103331595062894,3.0927915647907853,3.931540913943227,0.8387493491524415,0,1,0,0.0,1.5
61,0,decoupled_periodic_k=9,0.0,7.0,19,stay,stay,1.0,0.5,120.0,100.0,0.0,210.0,0.0,152.36243335812125,0.0,152.65423202113223,0.29179866301097945,7,11.999999999999998,0.8288434530082254,0.17115654699177468,3.090601819407832,3.0881081121698344,3.931540913943227,0.8434328017733924,0,1,0,0.0,1.5
62,0,decoupled_periodic_k=9,0.0,7.0,19,stay,stay,1.0,0.5,120.0,100.0,0.0,210.0,0.0,151.1122430995259,0.0,151.15423202113223,0.0419889216063325,8,13.199999999999998,0.8071055249263858,0.1928944750736142,3.077724799182413,3.0773622960206555,3.931540913943227,0.8541786179225715,0,1,0,0.0,1.5
63,1,decoupled_periodic_k=9,1.0,8.0,18,stay,stay,1.0,0.5,120.0,100.0,0.0,210.0,0.0,148.7801089614999,0.0,148.7801089614999,0.0,0,3.6,0.9856,0.014400000000000003,3.0570622817052957,3.0570622817052957,3.931540913943227,0.8744786322379313,0,1,0,0.0,1.5
64,0,decoupled_periodic_k=9,0.0,8.0,18,stay,down,1.0,0.5,120.0,100.0,0.0,200.0,0.0,146.63150580251605,0.0,147.2801089614999,0.6486031589838603,1,4.8,0.9618406428922863,0.03815935710771369,3.0642214946751167,3.0590244382827274,3.8940040659384754,0.8349796276557477,0,1,0,10.0,1.5
65,0,decoupled_periodic_k=9,0.0,8.0,18,up,stay,1.0,0.5,120.0,110.0,0.0,200.0,0.0,144.16782549922664,0.0,145.7801089614999,1.6122834622732682,2,6.0,0.9373723622098852,0.06262763779011485,3.072641688094728,3.06008597186198,3.937645564017258,0.8775595921552777,0,1,0,10.0,1.5
66,0,decoupled_periodic_k=9,0.0,8.0,18,stay,stay,1.0,0.5,120.0,110.0,0.0,200.0,0.0,142.5122696112575,0.0,144.2801089614999,1.7678393502424115,3,7.2,0.9147223614619546,0.08527763853804543,3.0609643721124056,3.0470691293956262,3.937645564017258,0.8905764346216318,0,1,0,0.0,1.5
67,0,decoupled_periodic_k=9,0.0,8.0,18,stay,stay,1.0,0.5,120.0,110.0,0.0,200.0,0.0,140.30136425441222,0.0,142.7801089614999,2.478744707087685,4,8.4,0.8908228244090527,0.10917717559094729,3.0491830838963185,3.0295094424176194,3.937645564017258,0.9081361215996385,0,1,0,0.0,1.5
68,0,decoupled_periodic_k=9,0.0,8.0,18,stay,stay,1.0,0.5,120.0,110.0,0.0,200.0,0.0,139.38805285193828,0.0,141.2801089614999,1.8920561095616222,5,9.6,0.8698428737534863,0.13015712624651365,3.037306328795343,3.0222026252689633,3.937645564017258,0.9154429387482947,0,1,0,0.0,1.5
69,0,decoupled_periodic_k=9,0.0,8.0,18,stay,down,1.0,0.5,120.0,110.0,0.0,190.0,0.0,139.9277565781434,0.0,139.7801089614999,0.14764761664349635,6,10.799999999999999,0.8514677928625521,0.14853220713744786,3.0465588569466946,3.0476121782037753,3.900941418811555,0.8533292406077799,0,1,0,10.0,1.5
70,0,decoupled_periodic_k=9,0.0,8.0,18,stay,stay,1.0,0.5,120.0,110.0,0.0,190.0,0.0,137.7350798941211,0.0,138.2801089614999,0.5450290673788061,7,11.999999999999998,0.8282736845983977,0.1717263154016023,3.0357990370446464,3.0318638814585634,3.900941418811555,0.8690775373529919,0,1,0,0.0,1.5
71,0,decoupled_periodic_k=9,0.0,8.0,18,stay,stay,1.0,0.5,120.0,110.0,0.0,190.0,0.0,136.4224779177618,0.0,136.7801089614999,0.3576310437381096,8,13.199999999999998,0.8063953301515893,0.1936046698484107,3.024937798923418,3.0223341782889497,3.900941418811555,0.8786072405226054,0,1,0,0.0,1.5
72,1,decoupled_periodic_k=9,1.0,9.0,17,stay,stay,1.0,0.5,120.0,110.0,0.0,190.0,0.0,134.631727835636,0.0,134.631727835636,0.0,0,3.6,0.9856,0.014400000000000003,3.0092213953044538,3.0092213953044538,3.900941418811555,0.8917200235071013,0,1,0,0.0,1.5
73,0,decoupled_periodic_k=9,0.0,9.0,17,stay,down,1.0,0.5,120.0,110.0,0.0,180.0,0.0,133.03317421514456,0.0,133.131727835636,0.0985536204914581,1,4.8,0.9630782543538943,0.036921745646105786,3.0189898660191705,3.0183476110118654,3.866060402370288,0.8477127913584225,0,1,0,10.0,1.5
74,0,decoupled_periodic_k=9,0.0,9.0,17,stay,stay,1.0,0.5,120.0,110.0,0.0,180.0,0.0,131.6431082123563,0.0,131.631727835636,0.011380376720296681,2,6.0,0.9409743941523794,0.05902560584762066,3.0091671503693123,3.0092420484459557,3.866060402370288,0.856818353924332,0,1,0,0.0,1.5
75,0,decoupled_periodic_k=9,0.0,9.0,17,stay,stay,1.0,0.5,120.0,110.0,0.0,180.0,0.0,129.41815058537824,0.0,130.131727835636,0.7135772502577709,3,7.2,0.91709445118692,0.08290554881307999,2.999247697750807,2.994497129040034,3.866060402370288,0.8715632733302536,0,1,0,0.0,1.5
76,0,decoupled_periodic_k=9,0.0,9.0,17,stay,stay,1.0,0.5,120.0,110.0,0.0,180.0,0.0,127.57773504902691,0.0,128.631727835636,1.0539927866091006,4,8.4,0.8940285162301296,0.10597148376987048,2.9892392975723405,2.982157833752011,3.866060402370288,0.883902568618277,0,1,0,0.0,1.5
77,0,decoupled_periodic_k=9,0.0,9.0,17,stay,down,1.0,0.5,120.0,110.0,0.0,170.0,0.0,127.31528598853284,0.0,127.13172783563601,0.18355815289682198,5,9.6,0.8736869941559822,0.12631300584401783,2.9997355003968287,3.000803502138594,3.834012555523989,0.8332090533853949,0,1,0,10.0,1.5
78,0,decoupled_periodic_k=9,0.0,9.0,17,stay,stay,1.0,0.5,120.0,110.0,0.0,170.0,0.0,126.50320364624898,0.0,125.63172783563601,0.8714758106129636,6,10.799999999999999,0.8498391794261209,0.15016082057387917,2.9909507478258686,2.9960668110614264,3.834012555523989,0.8379457444625628,0,1,0,0.0,1.5
79,0,decoupled_periodic_k=9,0.0,9.0,17,stay,stay,1.0,0.5,120.0,110.0,0.0,170.0,0.0,124.17374300975706,0.0,124.13172783563601,0.042015174121047494,7,11.999999999999998,0.8294054658582277,0.17059453414177234,2.9820690227750553,2.9823190562992843,3.834012555523989,0.8516934992247047,0,1,0,0.0,1.5
