slot,sync,sync_applied,sync_reason,sync_cost,sync_bandwidth,matured_sync_bandwidth,total_sync_cost,remaining_budget,pending_syncs,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,pred_margin,pred_error_radius,pred_loss_ub,cert_base_bound,cert_empirical_upper_bound,cert_required_margin,cert_slack,certified_safe,realized_loss,cert_cover,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
10,1,0,full_sync,1.0,1.0,0.0,11.0,69.0,1,down_left,stay,1.0,0.5,116.36038969321072,176.36038969321072,341.2132034355964,281.2132034355964,395.3208559336663,293.3550806979289,400.67833484815424,298.3870392354072,7.350046737408135,1,1.1728737906012496,0.9612708996784267,0.0387291003215733,4.42872248860883,4.426529310097898,3.922265364001132,3.210568588896705,0.03499214943939273,0.03499214943939273,0.0,0.11553049367734253,3.806734870323789,1,0.00219317851093237,1,4.510370042467992,0.08384073237009423,0,1,0,10.0,1.5
11,1,1,full_sync,1.0,1.0,1.0,12.0,68.0,1,down,stay,1.0,0.5,116.36038969321072,166.36038969321072,341.2132034355964,281.2132034355964,393.6398248003069,291.77670021271405,395.70014350728775,293.6187860568662,2.7637281761347485,0,0.6608996869828941,0.9911380128557652,0.008861987144234761,4.553614605842663,4.552693535405894,4.0464564271444505,0.0,0.006608996869828941,0.006608996869828941,0.0,0.08677508683852722,3.9596813403059232,1,0.0009210704367683675,1,4.633347085821523,0.08065355041562886,0,1,0,10.0,1.5
12,1,1,full_sync,1.0,1.0,1.0,13.0,67.0,1,down,stay,1.0,0.5,116.36038969321072,156.36038969321072,341.2132034355964,281.2132034355964,391.6803944928675,289.92639058437965,393.7886001436394,292.43522083505184,3.2770047745822106,0,0.5095189603869429,0.9905886634156422,0.009411336584357746,4.663219845501838,4.662075633779393,4.154844973013843,0.0,0.005095189603869429,0.005095189603869429,0.0,0.08524614149990813,4.069598831513934,1,0.0011442117224449433,1,4.739640667522058,0.07756503374266416,0,1,0,10.0,1.5
13,1,1,full_sync,1.0,1.0,1.0,14.0,66.0,1,down_left,stay,1.0,0.5,109.28932188134524,149.28932188134524,341.2132034355964,281.2132034355964,389.40776660841635,288.0581581224175,392.65971578640466,291.33628367041024,4.617497218691244,0,0.4297573401928074,0.9878916018971735,0.012108398102826528,4.75908481591896,4.757631096652512,4.2480100439482165,0.0,0.004297573401928074,0.004297573401928074,0.0,0.08444054913594735,4.163569494812269,1,0.0014537192664478837,1,4.827872105525421,0.07024100887290889,0,1,0,10.0,1.5
14,1,1,full_sync,1.0,1.0,1.0,15.0,65.0,1,down,stay,1.0,0.5,109.28932188134524,139.28932188134524,341.2132034355964,281.2132034355964,387.87800382600994,286.1857736477766,391.74255771699416,290.14854168576375,5.535188099713829,0,0.3785886282002127,0.986031472262843,0.013968527737156965,4.832095956721766,4.830336189301117,4.319882743583885,0.0,0.0037858862820021274,0.0037858862820021274,0.0,0.08392374514482213,4.235958998439063,1,0.0017597674206486502,1,4.897736533248168,0.06740034394705129,0,1,0,10.0,1.5
15,1,1,full_sync,1.0,1.0,1.0,16.0,64.0,1,down_left,stay,1.0,0.5,102.21825406947977,132.21825406947977,341.2132034355964,281.2132034355964,385.7275309760422,284.0780205306092,390.7147350147827,289.0586389291743,7.048316377416323,0,0.34220421329477485,0.9827724712976341,0.017227528702365828,4.883936776744127,4.881892079451582,4.369469480115258,0.0,0.0034220421329477484,0.0034220421329477484,0.0,0.08355626255427723,4.285913217560981,1,0.0020446972925451945,1,4.943158103358428,0.06126602390684585,0,1,0,10.0,1.5
16,1,1,full_sync,1.0,1.0,1.0,17.0,63.0,1,down,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,384.16690962929613,282.1820777837419,389.77937102122934,287.95674047719774,8.052729481308297,0,0.3146282018957971,0.9806228458594731,0.019377154140526858,4.908786120003861,4.906430604630412,4.393336888351521,0.0,0.003146282018957971,0.003146282018957971,0.0,0.08327774483914756,4.310059143512373,1,0.0023555153734493572,1,4.965209661468642,0.05877905683823036,0,1,0,10.0,1.5
17,1,0,full_sync,1.0,1.0,0.0,18.0,62.0,1,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,382.536175247597,280.2157330484555,373.8334307082531,276.9091238492906,9.309749025246683,1,0.7450283322603404,0.9585729513641537,0.0414270486358464,4.902315064093812,4.905505132468895,4.389241532590049,3.454565763812739,0.03217767790547984,0.03217767790547984,0.0,0.11269763731508714,4.276543895274962,1,0.0,1,4.965209661468642,0.05970452899974693,0,1,0,0.0,1.5
18,1,1,full_sync,1.0,1.0,1.0,19.0,61.0,1,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,380.6538869264311,278.0892142018124,376.8268788728451,277.4618772996699,3.8780848664001377,0,0.5452135106069199,0.989093455008172,0.010906544991827988,4.903307226655332,4.904383987923162,4.389868531641774,0.0,0.005452135106069199,0.005452135106069199,0.0,0.08560665645712988,4.304261875184644,1,0.0,1,4.965209661468642,0.060825673545480595,0,1,0,0.0,1.5
19,1,1,full_sync,1.0,1.0,1.0,20.0,60.0,1,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,379.03034397113646,276.455406601655,377.5007347578762,277.0352665850296,1.6358306592095093,0,0.45053348132833154,0.9945172470914653,0.005482752908534723,4.903294908107697,4.903406867045767,4.3898556579239445,0.0,0.004505334813283315,0.004505334813283315,0.0,0.08465038816141615,4.305205269762529,1,0.0,1,4.965209661468642,0.061802794422874834,0,1,0,0.0,1.5
