slot,sync,sync_applied,sync_reason,sync_cost,sync_bandwidth,matured_sync_bandwidth,total_sync_cost,remaining_budget,pending_syncs,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,pred_margin,pred_error_radius,pred_loss_ub,cert_base_bound,cert_empirical_upper_bound,cert_required_margin,cert_slack,certified_safe,realized_loss,cert_cover,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
20,1,0,hybrid_periodic_refresh_k=4,0.25,0.25,0.0,1.5,78.5,1,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,388.6294065050315,270.18399991861475,383.4325589696704,271.61092480915,5.389187225270396,3,3.39141193288899,0.9218086810115856,0.07819131898841436,4.902256666485534,4.902528039134664,4.389128029654525,10.46893516538165,0.10872773032117979,0.10872773032117979,0.0,0.19021376503100684,4.198914264623519,1,0.0,1,4.965209661468642,0.06268162233397885,0,1,0,0.0,1.5
21,0,1,hybrid_secrecy_guard,0.0,0.0,0.25,1.5,78.5,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.07788889840185,267.42425058390677,385.8477361206701,267.74818809919094,3.2463552611038424,0,1.4470448771918272,0.986907521153749,0.013092478846250952,4.900921433560807,4.901331946457517,4.388228030536408,0.0,0.014470448771918273,0.014470448771918273,0.0,0.09471515325963746,4.29351287727677,1,0.0,1,4.965209661468642,0.06387771501112585,0,1,0,0.0,1.5
22,0,0,hybrid_secrecy_guard,0.0,0.0,0.0,1.5,78.5,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.12671481793336,265.10011728331455,385.03112557461657,264.1382897286949,4.207013607631653,1,1.9240896578161164,0.9653378607515644,0.03466213924843568,4.898918147780889,4.900203712848045,4.386916271704976,3.224646117012178,0.042588773280234235,0.042588773280234235,0.0,0.12320364685771706,4.263712624847259,1,0.0,1,4.965209661468642,0.06500594862059722,0,1,0,0.0,1.5
23,0,0,hybrid_secrecy_guard,0.0,0.0,0.0,1.5,78.5,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.3400827918712,262.8381214538745,384.214515028563,260.5283913581988,5.621947884064237,2,2.5886347371789715,0.9419960783121396,0.058003921687860414,4.896706976215922,4.899072104388518,4.385464944472783,6.344073513800768,0.07195078845459432,0.07195078845459432,0.0,0.15294405927969232,4.232520885193091,1,0.0,1,4.965209661468642,0.06613755708012475,0,1,0,0.0,1.5
24,1,0,hybrid_periodic_refresh_k=4,0.25,0.25,0.0,1.75,78.25,1,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.2354652701967,260.19941591607517,383.3979044825095,256.91849298770273,6.696384936057907,3,3.3905258073418665,0.9188710306645023,0.08112896933549776,4.894275239204294,4.8976071007767645,4.383865198866014,10.62233587204485,0.10963927330568776,0.10963927330568776,0.0,0.19114055947362646,4.192724639392387,1,0.0,1,4.965209661468642,0.06760256069187766,0,1,0,0.0,1.5
25,0,1,hybrid_secrecy_guard,0.0,0.0,0.25,1.75,78.25,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.4928580345738,257.64202461861066,386.8997608630293,256.30706211412775,2.9165523875712327,0,1.4469760216555294,0.9876498530413426,0.012350146958657392,4.894777266846764,4.896172087582514,4.384157276781177,0.0,0.014469760216555294,0.014469760216555294,0.0,0.09471445781872086,4.289442818962456,1,0.0,1,4.965209661468642,0.06903757388612837,0,1,0,0.0,1.5
26,0,0,hybrid_secrecy_guard,0.0,0.0,0.0,1.75,78.25,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.64200625778994,255.18475233943184,386.97331879144025,252.54173861226465,3.7559838065473787,1,1.9239686804856808,0.9663531617133256,0.03364683828667433,4.892321416903593,4.894696039157179,4.382526229597076,3.361794517523592,0.04341045390999837,0.04341045390999837,0.0,0.1240390302297993,4.258487199367277,1,0.0,1,4.965209661468642,0.07051362231146265,0,1,0,0.0,1.5
27,0,0,hybrid_secrecy_guard,0.0,0.0,0.0,1.75,78.25,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.84915186401025,252.55657654553087,387.0468767198512,248.77641511040156,4.705567602235744,2,2.588483504428805,0.9440585388772543,0.05594146112274564,4.889664965376187,4.893041969143931,4.380757780632763,7.0726529587384555,0.0763207527967188,0.0763207527967188,0.0,0.1573868664430355,4.2233709141897275,1,0.0,1,4.965209661468642,0.07216769232471182,0,1,0,0.0,1.5
28,1,0,hybrid_periodic_refresh_k=4,0.25,0.25,0.0,2.0,78.0,1,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.8967137713333,250.24425366372108,387.1204346482621,245.01109160853846,5.923994502445452,3,3.390355986452854,0.9206095884236863,0.07939041157631369,4.886801778976217,4.891479447182016,4.378847063280809,9.638435933474062,0.1037341754653729,0.1037341754653729,0.0,0.1851370546573656,4.193710008623444,1,0.0,1,4.965209661468642,0.07373021428662573,0,1,0,0.0,1.5
29,0,1,hybrid_secrecy_guard,0.0,0.0,0.25,2.0,78.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.80390980941723,247.8812862349883,388.84004150652834,246.85895811548988,1.4050611692133126,0,1.4469628208438248,0.9910507610858947,0.008949238914105252,4.888745916356789,4.889768521437956,4.380120163341807,0.0,0.014469628208438248,0.014469628208438248,0.0,0.09471432449052264,4.285405838851284,1,0.0,1,4.965209661468642,0.07544114003068587,0,1,0,0.0,1.5
30,0,0,hybrid_secrecy_guard,0.0,0.0,0.0,2.0,78.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.44515791574054,245.52737797922396,389.35073612744736,243.56337585079515,1.9662705395182394,1,1.9239644726535732,0.9703800333954696,0.029619966604530326,4.886338200584238,4.887904731961227,4.3785041524943225,3.2810894560625234,0.04292618146291087,0.04292618146291087,0.0,0.12354668685578248,4.25495746563854,1,0.0,1,4.965209661468642,0.07730492950741519,0,1,0,0.0,1.5
31,0,0,hybrid_secrecy_guard,0.0,0.0,0.0,2.0,78.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.30433721367973,243.03112621484226,389.8614307483664,240.26779358610042,2.818928949700389,2,2.5884871756809957,0.9483034611604502,0.05169653883954985,4.883791014190215,4.8858967776485,4.376790427583898,6.800441317046979,0.07468751965909184,0.07468751965909184,0.0,0.15572641250836466,4.221064015075533,1,0.0,1,4.965209661468642,0.07931288382014215,0,1,0,0.0,1.5
32,1,0,hybrid_periodic_refresh_k=4,0.25,0.25,0.0,2.25,77.75,1,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.4485612113515,240.66508556765123,390.3721253692854,236.9722113214057,3.8066114790458645,3,3.390365924911326,0.9253736604725015,0.0746263395274985,4.881102995089671,4.88399187568334,4.3749774212989845,9.811296657500728,0.10477143919411762,0.10477143919411762,0.0,0.18619160545235883,4.188785815846626,1,0.0,1,4.965209661468642,0.08121778578530248,0,1,0,0.0,1.5
33,0,1,hybrid_secrecy_guard,0.0,0.0,0.25,2.25,77.75,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.6481767440433,238.1355399222984,389.67572538263056,235.71565668508447,2.4200400428994864,0,1.446963593442,0.9887670555297081,0.011232944470291845,4.879718142405504,4.881881967680343,4.374058465182499,0.0,0.01446963593442,0.01446963593442,0.0,0.09471433229376419,4.279344132888736,1,0.0,1,4.965209661468642,0.08332769378829907,0,1,0,0.0,1.5
34,0,0,hybrid_secrecy_guard,0.0,0.0,0.0,2.25,77.75,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.2140430023164,235.23873003859208,390.00938938492516,232.10064787118515,3.2373037481407714,1,1.9239658297274749,0.9675202032477733,0.03247979675222663,4.876431332888959,4.879105834247064,4.371838418909929,3.8291602223238685,0.046214619631217965,0.046214619631217965,0.0,0.12688993223642311,4.244948486673506,1,0.0,1,4.965209661468642,0.08610382722157825,0,1,0,0.0,1.5
35,0,0,hybrid_secrecy_guard,0.0,0.0,0.0,2.25,77.75,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,387.1471020010695,233.59089535364276,390.34305338721975,228.48563905728582,6.023101121027917,2,2.5884880179262266,0.9410940704059823,0.05890592959401772,4.872955494240073,4.876711036912042,4.3694837665241195,7.0868153936211264,0.07640577254098901,0.07640577254098901,0.0,0.15747330288214373,4.212010463641976,1,0.0,1,4.965209661468642,0.08849862455660067,0,1,0,0.0,1.5
36,1,0,hybrid_periodic_refresh_k=4,0.25,0.25,0.0,2.5,77.5,1,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,385.1076913314951,231.7096796344646,390.67671738951435,224.8706302433865,8.819673906018467,3,3.39036587342911,0.914094270217742,0.08590572978225798,4.869287908813794,4.873916116667128,4.3669915144863305,11.023672035304635,0.11204569094611891,0.11204569094611891,0.0,0.1935870947369923,4.173404419749338,1,0.0,1,4.965209661468642,0.09129354480151457,0,1,0,0.0,1.5
37,0,1,hybrid_secrecy_guard,0.0,0.0,0.25,2.5,77.5,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,383.72969286786457,229.83503349017982,383.77337347830456,228.66195388310902,1.1738925675945826,0,1.4469635894398776,0.9915708873651526,0.008429112634847321,4.870007876041934,4.871263233338551,4.367624739580946,0.0,0.014469635894398775,0.014469635894398775,0.0,0.09471433225334276,4.272910407327603,1,0.0,1,4.965209661468642,0.09394642813009109,0,1,0,0.0,1.5
38,0,0,hybrid_secrecy_guard,0.0,0.0,0.0,2.5,77.5,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,381.676919298425,227.9655566144433,382.35215247690564,226.01072973430425,2.0681605297063537,1,1.9239653740963611,0.9701507773117752,0.02984922268822474,4.866220105059569,4.868084375775678,4.365093463596111,3.676476745140018,0.045298514211803725,0.045298514211803725,0.0,0.12595855842372738,4.239134905172383,1,0.0,1,4.965209661468642,0.0971252856929647,0,1,0,0.0,1.5
39,0,0,hybrid_secrecy_guard,0.0,0.0,0.0,2.5,77.5,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,380.1612447866958,225.67959353451923,380.9309314755067,223.35950558549948,2.444427476960479,2,2.5884871265496114,0.9491460896706405,0.05085391032935952,4.862170336053174,4.864509248377236,4.362381375941638,7.285579797352846,0.07759835004961319,0.07759835004961319,0.0,0.15868575674200341,4.203695619199634,1,0.0,1,4.965209661468642,0.10070041309140593,0,1,0,0.0,1.5
