slot,sync,sync_applied,sync_reason,sync_cost,sync_bandwidth,matured_sync_bandwidth,total_sync_cost,remaining_budget,pending_syncs,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,pred_margin,pred_error_radius,pred_loss_ub,cert_base_bound,cert_empirical_upper_bound,cert_required_margin,cert_slack,certified_safe,realized_loss,cert_cover,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
10,0,0,periodic_k=4,0.0,0.0,0.0,3.0,77.0,0,down_left,stay,1.0,0.5,116.36038969321072,176.36038969321072,341.2132034355964,281.2132034355964,397.2740264417645,291.8214192092418,396.70765792840467,291.9510195894782,0.5810073592329258,1,1.153483881180058,0.9765787979170056,0.023421202082994315,4.426516289639017,4.426613899217695,3.920895293223511,2.8877093638601967,0.03286109499496176,0.03286109499496176,0.0,0.11336521431946579,3.8075300789040454,1,0.0,1,4.510370042467992,0.0837561432502968,0,1,0,10.0,1.5
11,0,0,periodic_k=4,0.0,0.0,0.0,3.0,77.0,0,down,stay,1.0,0.5,116.36038969321072,166.36038969321072,341.2132034355964,281.2132034355964,395.3843349838827,289.89997943755395,394.40634122381095,290.10559809963047,0.9993752192912319,2,1.769228328608793,0.9556744924421595,0.04432550755784044,4.552403377763665,4.552560051768661,4.045687531745216,7.189940482868159,0.0688319261832969,0.0688319261832969,0.0,0.1498278430644446,3.8958596886807713,1,0.0,1,4.633347085821523,0.08078703405286158,0,1,0,10.0,1.5
12,1,0,periodic_k=4,1.0,1.0,0.0,4.0,76.0,1,down,stay,1.0,0.5,116.36038969321072,156.36038969321072,341.2132034355964,281.2132034355964,393.3724362124419,288.3170063113602,392.10502451921724,288.2601766097827,1.2686851520783464,3,2.527249105099454,0.9345364619874259,0.0654635380125741,4.661652446269625,4.661938259416165,4.153846813299413,10.379965186313543,0.0995522821688758,0.0995522821688758,0.0,0.18094300359801707,3.9729038097013962,1,0.0,1,4.739640667522058,0.07770240810589243,0,1,0,10.0,1.5
13,0,1,periodic_k=4,0.0,0.0,1.0,4.0,76.0,0,down_left,stay,1.0,0.5,109.28932188134524,149.28932188134524,341.2132034355964,281.2132034355964,391.9433609472918,286.51505512109736,391.35857318024597,287.1470670743499,0.8610550746267732,0,0.7626994465875362,0.9950118282957396,0.004988171704260384,4.757725412042279,4.757639372954991,4.247141772631194,0.0,0.007626994465875362,0.007626994465875362,0.0,0.08780326441053411,4.159338508220659,1,8.603908728854748e-05,1,4.827872105525421,0.07023273257042971,0,1,0,10.0,1.5
14,0,0,periodic_k=4,0.0,0.0,0.0,4.0,76.0,0,down,stay,1.0,0.5,109.28932188134524,139.28932188134524,341.2132034355964,281.2132034355964,390.39857024568647,284.91023444862253,388.81549310101616,284.941127619598,1.5833785504390376,1,1.153801952443525,0.9743221904517381,0.025677809548261935,4.830105240397332,4.830362285572732,4.31861761442553,3.1275160386782566,0.034303115756504785,0.034303115756504785,0.0,0.11483124755561697,4.203786366869913,1,0.0,1,4.897736533248168,0.06737424767543632,0,1,0,10.0,1.5
15,0,0,periodic_k=4,0.0,0.0,0.0,4.0,76.0,0,down_left,stay,1.0,0.5,102.21825406947977,132.21825406947977,341.2132034355964,281.2132034355964,388.4311503805335,283.21211589257615,386.27241302178635,282.7351881648461,2.2107933059262628,2,1.7691886458153259,0.9529489604784046,0.047051039521595395,4.881563743022065,4.882040213423132,4.36796570119263,6.997825528502319,0.06767883962916718,0.06767883962916718,0.0,0.14865554104659895,4.219310160146031,1,0.0,1,4.943158103358428,0.06111788993529591,0,1,0,10.0,1.5
16,1,0,periodic_k=4,1.0,1.0,0.0,5.0,75.0,1,down,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,388.4661561232757,280.77772247159487,383.72933294255654,280.5292487100942,4.743335646520577,3,2.526463734725488,0.9267216398564267,0.07327836014357325,4.90581331049244,4.9065693718181445,4.391452227558735,10.003935279784239,0.09728824902596031,0.09728824902596031,0.0,0.1786412889274113,4.212810938631323,1,0.0,1,4.965209661468642,0.05864028965049797,0,1,0,10.0,1.5
17,0,1,periodic_k=4,0.0,0.0,1.0,5.0,75.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,388.7275847566602,278.34480113622726,388.3212360949153,278.75408525447426,0.5767432048590272,0,0.7626778505194796,0.9956516163869893,0.00434838361301073,4.905869193344614,4.905778298587867,4.391451007540452,0.0,0.007626778505194796,0.007626778505194796,0.0,0.08780304629024674,4.303647961250205,1,9.089475674706193e-05,1,4.965209661468642,0.05943136288077542,0,1,0,0.0,1.5
18,0,0,periodic_k=4,0.0,0.0,0.0,5.0,75.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,388.9169712244117,275.4076543902706,387.26441462091094,275.97357968322194,1.746772671235766,1,1.1535579516758334,0.9739555296830162,0.026044470316983807,4.904710262944889,4.904725630664902,4.3907023332000765,3.8432462080925767,0.0385950567653138,0.0385950567653138,0.0,0.11919473718129064,4.271507596018786,1,0.0,1,4.965209661468642,0.06048403080374032,0,1,0,0.0,1.5
19,0,0,periodic_k=4,0.0,0.0,0.0,5.0,75.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,388.8210698595045,272.76654259398276,386.20759314690656,273.1930741119696,2.648053938863029,2,1.7687329962656868,0.9519669466524955,0.04803305334750456,4.903437026186313,4.9036621135809595,4.389877504097937,7.085704718306433,0.06820155827249547,0.06820155827249547,0.0,0.1491870020439527,4.240690502053984,1,0.0,1,4.965209661468642,0.06154754788768265,0,1,0,0.0,1.5
20,1,0,periodic_k=4,1.0,1.0,0.0,6.0,74.0,1,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,388.6294065050315,270.18399991861475,385.1507716729022,270.4125685407173,3.486135956946217,3,2.5258342970761882,0.9295528569085663,0.07044714309143374,4.902042334364386,4.902528039134664,4.388971718638766,10.46893516538165,0.10007195396305178,0.10007195396305178,0.0,0.18147143090929757,4.207500287729468,1,0.0,1,4.965209661468642,0.06268162233397885,0,1,0,0.0,1.5
21,0,1,periodic_k=4,0.0,0.0,1.0,6.0,74.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.07788889840185,267.42425058390677,387.496299119858,267.453213279959,1.5818549444740435,0,0.7626605290617228,0.9933901842586865,0.0066098157413134895,4.901079142952664,4.901331946457517,4.388315559002642,0.0,0.007626605290617228,0.007626605290617228,0.0,0.0878028713435234,4.300512687659118,1,0.0,1,4.965209661468642,0.06387771501112585,0,1,0,0.0,1.5
22,0,0,periodic_k=4,0.0,0.0,0.0,6.0,74.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.12671481793336,265.10011728331455,387.19869561441465,263.71480133577586,2.374101582418484,1,1.1535494815742005,0.9725440735132616,0.02745592648673839,4.89913530561575,4.900203712848045,4.387037043305672,3.224646117012178,0.03488337151781508,0.03488337151781508,0.0,0.11542119107767372,4.271615852227998,1,0.0,1,4.965209661468642,0.06500594862059722,0,1,0,0.0,1.5
23,0,0,periodic_k=4,0.0,0.0,0.0,6.0,74.0,0,stay,stay,1.0,0.5,102.21825406947977,122.21825406947977,341.2132034355964,281.2132034355964,389.3400827918712,262.8381214538745,386.9010921089713,259.9763893915927,3.760077917751767,2,1.76873106665945,0.9494649004184207,0.05053509958157927,4.896999427074041,4.899072104388518,4.385628912584186,6.344073513800768,0.06375175174939911,0.06375175174939911,0.0,0.14466303220744514,4.2409658803767405,1,0.0,1,4.965209661468642,0.06613755708012475,0,1,0,0.0,1.5
