episode_length,total_secrecy_rate,avg_sync_cost,avg_sync_bandwidth,sync_request_rate,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,certificate_in_policy_cover_rate,certificate_empirical_cover_rate,certificate_margin_cover_rate,prediction_violation_prob,outage_prob,success_prob,scenario,train_episode,seed
160.0,21.652144554033402,0.11875,0.11875,0.21875,0.20625,0.21875,0.39055632716457145,0.6094436728354286,0.13532590346270876,0.6606667063274564,0.6606484956364396,-1.1003377389096003,0.0,1.0,0.6,0.6,0.6,0.6,0.68125,1.0,0.0,scenario_stress,28,228
160.0,31.03350692277553,0.11875,0.11875,0.19375,0.16875,0.19375,0.4055653107972046,0.5944346892027955,0.19395941826734706,0.5431652054695859,0.5409187222268711,-1.1440781325113174,0.0,1.0,0.76875,0.76875,0.76875,0.76875,0.7125,1.0,0.0,scenario_stress,29,229
160.0,39.987146820223984,0.11875,0.11875,0.1875,0.18125,0.1875,0.5184656805806804,0.4815343194193195,0.2499196676263999,0.20702681677707804,0.2063403102552797,-1.550010824739815,0.0,1.0,0.875,0.875,0.875,0.875,0.625,1.0,0.0,scenario_stress,30,230
160.0,1.6735091935688806,0.11875,0.11875,0.2,0.1875,0.2,0.2933744184647585,0.7066255815352416,0.010459432459805504,0.5385936468654415,0.5385636470148464,-3.4021404129474533,0.0,1.0,0.8,0.8,0.8,0.8,0.75,1.0,0.0,scenario_stress,31,231
160.0,5.287113657657782,0.11875,0.11875,0.1875,0.1625,0.1875,0.42789294375654396,0.5721070562434561,0.03304446036036114,0.4514902346256905,0.451462505850081,-1.7647765367741335,0.0,1.0,0.98125,0.98125,0.98125,0.98125,0.5625,1.0,0.0,scenario_stress,32,232
160.0,15.000927427130136,0.11875,0.11875,0.175,0.16875,0.175,0.4321054668473545,0.5678945331526455,0.09375579641956336,0.29405332259163,0.2791971798999404,-1.3938403970687385,0.16875,0.83125,0.74375,0.74375,0.74375,0.74375,0.54375,1.0,0.0,scenario_stress,33,233
160.0,20.526230072988074,0.11875,0.11875,0.175,0.1625,0.175,0.39669640398829875,0.6033035960117014,0.12828893795617546,0.7306095050988702,0.7304843288617853,-1.1683778963697449,0.1625,0.8375,0.6875,0.6875,0.6875,0.6875,0.74375,1.0,0.0,scenario_stress,34,234
160.0,56.713769095886214,0.11875,0.11875,0.2,0.1875,0.2,0.37270905687239925,0.6272909431276008,0.35446105684928886,0.48561432897472107,0.4846153341440723,-0.8359269614650155,0.18125,0.81875,0.5875,0.5875,0.5875,0.5875,0.8125,1.0,0.0,scenario_stress,35,235
160.0,24.180538380837675,0.11875,0.11875,0.19375,0.16875,0.19375,0.3756188159504543,0.6243811840495457,0.15112836488023546,0.7965073310846519,0.7944315930434787,-1.4043807025654582,0.0625,0.9375,0.75,0.75,0.75,0.75,0.81875,0.99375,0.00625,scenario_stress,36,236
160.0,16.317852770662938,0.11875,0.11875,0.2,0.19375,0.2,0.31903283093570783,0.6809671690642922,0.10198657981664336,1.104004148490541,1.0994724591049114,-4.271516342014681,0.04375,0.95625,0.76875,0.76875,0.76875,0.76875,0.8625,1.0,0.0,scenario_stress,37,237
160.0,10.035107612706557,0.11875,0.11875,0.1875,0.175,0.1875,0.4418952926265728,0.5581047073734272,0.06271942257941598,0.38398657032365324,0.38358861146015577,-2.0197639027964702,0.0,1.0,0.70625,0.70625,0.70625,0.70625,0.76875,1.0,0.0,scenario_stress,38,238
