episode_length,total_secrecy_rate,avg_sync_cost,avg_sync_bandwidth,sync_request_rate,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,certificate_in_policy_cover_rate,certificate_empirical_cover_rate,certificate_margin_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,r_min,config_path
160.0,200.99146360521877,0.109375,0.109375,0.4375,0.4,0.4375,0.9315320672661563,0.0684679327338437,1.2561966475326174,0.10949776056527347,0.10170826328463663,-0.08903991122550134,0.29375,0.70625,1.0,1.0,1.0,1.0,0.88125,0.0,1.0,rollout_joint,69,300.293830954,1876.8364434625,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,201.60360374962735,0.1078125,0.1078125,0.43125,0.3875,0.43125,0.934048803663081,0.06595119633691905,1.260022523435171,0.09907883495035494,0.09439878705115409,-0.09407237229839814,0.24375,0.75625,1.0,1.0,1.0,1.0,0.90625,0.0,1.0,rollout_joint,70,287.83693096499974,1798.9808185312481,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,198.85067558978756,0.10625,0.10625,0.425,0.4,0.425,0.9323874936285014,0.06761250637149865,1.2428167224361721,0.11233010602643725,0.10436500175359349,-0.091573782967723,0.23125,0.76875,1.0,1.0,1.0,1.0,0.875,0.0,1.0,rollout_joint,71,298.4725158830006,1865.4532242687535,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,200.05990661162082,0.10625,0.10625,0.425,0.4,0.425,0.9345241947225901,0.06547580527741,1.25037441632263,0.10249260129112099,0.09492367108735314,-0.08834786597672192,0.23125,0.76875,1.0,1.0,1.0,1.0,0.88125,0.0,1.0,rollout_joint,72,301.51045067799987,1884.4403167374992,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,198.1506163596199,0.1078125,0.1078125,0.43125,0.38125,0.43125,0.9327882423061388,0.06721175769386119,1.2384413522476243,0.10867538191047513,0.09878398877378818,-0.11180705748584759,0.26875,0.73125,1.0,1.0,1.0,1.0,0.8875,0.0,1.0,rollout_joint,73,292.27654698399965,1826.7284186499978,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,200.73071858061752,0.109375,0.109375,0.4375,0.39375,0.4375,0.9349472114791894,0.06505278852081042,1.2545669911288595,0.09609912747376667,0.08978938037453442,-0.09641226157358489,0.19375,0.80625,1.0,1.0,1.0,1.0,0.90625,0.0,1.0,rollout_joint,74,305.0475956569999,1906.547472856249,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,199.38036551147823,0.1078125,0.1078125,0.43125,0.39375,0.43125,0.9344626717974697,0.06553732820253026,1.246127284446739,0.10321030807748151,0.09460389029351059,-0.09555791977486675,0.23125,0.76875,1.0,1.0,1.0,1.0,0.89375,0.0,1.0,rollout_joint,75,301.7382404550008,1885.8640028437549,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,201.59351388097528,0.10625,0.10625,0.425,0.39375,0.425,0.9341756117503213,0.06582438824967865,1.2599594617560954,0.10072190710290477,0.09090959262663444,-0.09130864570043828,0.2625,0.7375,1.0,1.0,1.0,1.0,0.8625,0.0,1.0,rollout_joint,76,303.8763845020003,1899.2274031375018,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,203.3736702669854,0.1078125,0.1078125,0.43125,0.3875,0.43125,0.9348956813382955,0.06510431866170442,1.2710854391686588,0.09010620308369899,0.08052374180176093,-0.09321802868972892,0.23125,0.76875,1.0,1.0,1.0,1.0,0.8875,0.0,1.0,rollout_joint,77,303.93428132200006,1899.5892582625006,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,203.6362608395939,0.10625,0.10625,0.425,0.39375,0.425,0.9335277481722773,0.06647225182772247,1.2727266302474618,0.10336433875903454,0.09693184074837372,-0.07278601386513602,0.2875,0.7125,1.0,1.0,1.0,1.0,0.9125,0.0,1.0,rollout_joint,78,298.96897090200036,1868.5560681375023,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
