avg_twin_badness,avg_secrecy_rate,tfscc,eve_speed
0.02748517667911445,3.212537129282388,,6.0
0.05128620766252014,3.2124774038738924,0.002509362243063707,6.0
0.05128620766252014,3.2124774038738924,,6.0
0.05128620766252014,3.2124774038738924,,6.0
0.09799461284246691,3.2146796837520797,-0.04714954128069503,6.0
0.09799461284246691,3.2146796837520797,,6.0
0.09799461284246691,3.2146796837520797,,6.0
0.09799461284246691,3.2146796837520797,,6.0
0.14173762657791447,3.212537129282388,0.04898049509458794,6.0
0.14435523681182347,3.215081068333658,-0.9718555567651634,6.0
0.14435523681182347,3.215081068333658,,6.0
0.14435523681182347,3.215081068333658,,6.0
0.14435523681182347,3.215081068333658,,6.0
0.15464779751978452,3.212537129282388,0.2471628901155899,6.0
0.17945237047941506,3.2124774038738924,0.0024078386107654766,6.0
0.18413989267647635,3.211201112839858,0.272274131274433,6.0
0.18413989267647635,3.211201112839858,,6.0
0.18413989267647635,3.211201112839858,,6.0
0.18413989267647635,3.211201112839858,,6.0
0.23182272140041946,3.212537129282388,-0.028018816800173863,6.0
0.2374634038005525,3.215163146251655,-0.4655495174138392,6.0
0.2374634038005525,3.215163146251655,,6.0
0.2374634038005525,3.215163146251655,,6.0
0.2374634038005525,3.215163146251655,,6.0
0.3264985474549659,3.212537129282388,0.029494162209244727,6.0
0.33509395593056607,3.212537129282388,-0.0,6.0
0.41406226011596026,3.2128346181126957,-0.0037671928424490627,6.0
0.027442587851156493,3.1869006501121966,,8.0
0.027442587851156493,3.1869006501121966,,8.0
0.05121272873409305,3.1869006501121966,-0.0,8.0
0.05121272873409305,3.1869006501121966,,8.0
0.05121272873409305,3.1869006501121966,,8.0
0.09791568920840499,3.181105432286808,0.12408673382870312,8.0
0.09791568920840499,3.181105432286808,,8.0
0.09791568920840499,3.181105432286808,,8.0
0.09791568920840499,3.181105432286808,,8.0
0.14173762657791447,3.1869006501121966,-0.1322446740892062,8.0
0.14422558567386934,3.181105432286808,2.329305909735711,8.0
0.14422558567386934,3.181105432286808,,8.0
0.14422558567386934,3.181105432286808,,8.0
0.14422558567386934,3.181105432286808,,8.0
0.15460520869182656,3.1869006501121966,-0.5583264262451917,8.0
0.17937889155098796,3.1869006501121966,-0.0,8.0
0.1840058825093903,3.1806292771645785,1.3553890647289064,8.0
0.1840058825093903,3.1806292771645785,,8.0
0.1840058825093903,3.1806292771645785,,8.0
0.1840058825093903,3.1806292771645785,,8.0
0.23182272140041946,3.1869006501121966,-0.13115406817062927,8.0
0.2371997082705913,3.1828500102224226,0.7533289531064975,8.0
0.2371997082705913,3.1828500102224226,,8.0
0.2371997082705913,3.1828500102224226,,8.0
0.2371997082705913,3.1828500102224226,,8.0
0.3264985474549659,3.1869006501121966,-0.04536049882362546,8.0
0.3350513671026081,3.1869006501121966,-0.0,8.0
0.41382312305769275,3.1869006501121966,-0.0,8.0
