periodic_k,avg_twin_badness,avg_secrecy_rate,tfscc,budget,eve_speed
20,0.2339483230361463,3.391278016587657,-0.0,40,8.0
1,0.32397622902309525,3.391278016587657,-0.0,40,8.0
2,0.02674754886592461,3.6805325658596115,,60,0.0
4,0.050437757235199776,3.6805325658596115,-0.0,60,0.0
8,0.09687358851408852,3.6805325658596115,-0.0,60,0.0
12,0.14288060026727437,3.6805325658596115,-0.0,60,0.0
16,0.18284061142289995,3.6805325658596115,-0.0,60,0.0
1,0.23123399238341139,3.6805325658596115,-0.0,60,0.0
20,0.2354330688983858,3.6805325658596115,-0.0,60,0.0
2,0.02672988014364036,3.333485024519934,,60,2.0
4,0.050375607727163284,3.3330785403825085,0.01719059546760836,60,2.0
8,0.09676755905756922,3.3345970830121936,-0.0327328897823235,60,2.0
12,0.14284015959039698,3.332784522171569,0.03934140507943034,60,2.0
16,0.18273458196638062,3.333222490872334,-0.010978193809589662,60,2.0
1,0.23118791292392837,3.33583975104718,-0.05401610422076216,60,2.0
20,0.23537840999905227,3.335201774561861,0.15224362978470402,60,2.0
2,0.026536487370288863,3.4006008598565267,,60,4.0
4,0.05007127188896201,3.4003139382058785,0.012191386346477977,60,4.0
8,0.09629300293153285,3.3999643263126167,0.007563799221188243,60,4.0
12,0.1422560557547986,3.40016317490724,-0.00432627039347795,60,4.0
16,0.1817157652381843,3.399897992113948,0.006720343275802622,60,4.0
1,0.22985988122536696,3.4006008598565267,-0.014599244957904819,60,4.0
20,0.2345536229516044,3.3989147193618514,0.35923163075846026,60,4.0
2,0.02648077959422514,3.4154399943168268,,60,6.0
4,0.04996918170470512,3.414848763197399,0.025171193708566946,60,6.0
8,0.09616404001806665,3.4147189181776714,0.0028108110830645312,60,6.0
12,0.1420614958784716,3.4134345218346276,0.02798404222992696,60,6.0
16,0.18148391065623926,3.4147440845700316,-0.03321873464084671,60,6.0
1,0.22985988122536696,3.4154399943168268,-0.014385442578370343,60,6.0
20,0.2341888247111522,3.4144108676159868,0.23773160916036085,60,6.0
2,0.026446359561075217,3.39162016276641,,60,8.0
4,0.0499077328336447,3.3915066700947842,0.0048374266206600534,60,8.0
8,0.09610175295863377,3.391278016587657,0.004949850792564524,60,8.0
12,0.14194791236591506,3.391278016587657,-0.0,60,8.0
16,0.18137737717001556,3.391278016587657,-0.0,60,8.0
1,0.22985988122536696,3.391278016587657,-0.0,60,8.0
20,0.2339483230361463,3.391278016587657,-0.0,60,8.0
2,0.02674754886592461,3.6805325658596115,,80,0.0
4,0.050437757235199776,3.6805325658596115,-0.0,80,0.0
8,0.09687358851408852,3.6805325658596115,-0.0,80,0.0
1,0.1401999845784573,3.6805325658596115,-0.0,80,0.0
12,0.14288060026727437,3.6805325658596115,-0.0,80,0.0
16,0.18284061142289995,3.6805325658596115,-0.0,80,0.0
20,0.2354330688983858,3.6805325658596115,-0.0,80,0.0
2,0.02672988014364036,3.333485024519934,,80,2.0
4,0.050375607727163284,3.3330785403825085,0.01719059546760836,80,2.0
8,0.09676755905756922,3.3345970830121936,-0.0327328897823235,80,2.0
1,0.14018255740383787,3.333332503157381,0.029127718599146916,80,2.0
12,0.14284015959039698,3.332784522171569,0.20619375939094295,80,2.0
16,0.18273458196638062,3.333222490872334,-0.010978193809589662,80,2.0
20,0.23537840999905227,3.335201774561861,-0.03759763990374251,80,2.0
2,0.026536487370288863,3.4006008598565267,,80,4.0
4,0.05007127188896201,3.4003139382058785,0.012191386346477977,80,4.0
8,0.09629300293153285,3.3999643263126167,0.007563799221188243,80,4.0
1,0.13976042325567514,3.4006008598565267,-0.014643922716446206,80,4.0
12,0.1422560557547986,3.40016317490724,0.17538036928137157,80,4.0
16,0.1817157652381843,3.399897992113948,0.006720343275802622,80,4.0
20,0.2345536229516044,3.3989147193618514,0.018609247131662274,80,4.0
2,0.02648077959422514,3.4154399943168268,,80,6.0
4,0.04996918170470512,3.414848763197399,0.025171193708566946,80,6.0
8,0.09616404001806665,3.4147189181776714,0.0028108110830645312,80,6.0
1,0.13976042325567514,3.4154399943168268,-0.016539815590329958,80,6.0
12,0.1420614958784716,3.4134345218346276,0.8715381089371915,80,6.0
16,0.18148391065623926,3.4147440845700316,-0.03321873464084671,80,6.0
20,0.2341888247111522,3.4144108676159868,0.006322312824525078,80,6.0
2,0.026446359561075217,3.39162016276641,,80,8.0
4,0.0499077328336447,3.3915066700947842,0.0048374266206600534,80,8.0
8,0.09610175295863377,3.391278016587657,0.004949850792564524,80,8.0
1,0.13976042325567514,3.391278016587657,-0.0,80,8.0
12,0.14194791236591506,3.391278016587657,-0.0,80,8.0
16,0.18137737717001556,3.391278016587657,-0.0,80,8.0
20,0.2339483230361463,3.391278016587657,-0.0,80,8.0
