slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
24,1,full_sync,1.0,25.0,3,stay,left,1.0,0.5,110.0,100.0,130.0,260.0,102.94443460766169,200.45203015517896,102.94443460766169,200.45203015517896,0.0,0,3.8,0.9848,0.0152,2.6652891166980988,2.6652891166980988,3.7753417001413982,1.1100525834432995,0,1,0,10.0,1.5
25,1,full_sync,1.0,26.0,2,stay,left,1.0,0.5,110.0,100.0,120.0,260.0,97.51814453886047,198.9644955016315,97.51814453886047,198.9644955016315,0.0,0,3.8,0.9848,0.0152,2.650711592687912,2.650711592687912,3.7668124138376347,1.1161008211497228,0,1,0,10.0,1.5
26,1,full_sync,1.0,27.0,1,stay,stay,1.0,0.5,110.0,100.0,120.0,260.0,92.0244235597583,197.23331205478723,92.0244235597583,197.23331205478723,0.0,0,3.8,0.9848,0.0152,2.61558118067979,2.61558118067979,3.7668124138376347,1.1512312331578447,0,1,0,0.0,1.5
27,1,full_sync,1.0,28.0,0,stay,left,1.0,0.5,110.0,100.0,110.0,260.0,86.95285591741583,194.27789484211416,86.95285591741583,194.27789484211416,0.0,0,3.8,0.9848,0.0152,2.5861805854355184,2.5861805854355184,3.76157380348364,1.1753932180481217,0,1,0,10.0,1.5
28,0,full_sync,0.0,28.0,0,stay,left,1.0,0.5,110.0,100.0,100.0,260.0,82.72596853256208,191.24640528227232,81.95285591741583,192.27789484211416,1.2890592801578171,1,5.15,0.958999616619645,0.04100038338035509,2.5752901345549204,2.5575234291838296,3.75980690344161,1.2022834742577808,0,1,0,10.0,1.5
29,0,full_sync,0.0,28.0,0,stay,left,1.0,0.5,110.0,100.0,90.0,260.0,77.91233928818589,189.2999930255482,76.95285591741583,190.27789484211416,1.3700001100829546,2,6.5,0.9359174997523133,0.06408250024768665,2.5675730032570128,2.5494455982310065,3.76157380348364,1.2121282052526337,1,0,0,10.0,1.5
30,0,full_sync,0.0,28.0,0,stay,down,1.0,0.5,110.0,100.0,90.0,250.0,73.92562826202104,186.4042928467454,71.95285591741583,188.27789484211416,2.7207012259138197,3,7.85,0.9099784222416939,0.0900215777583061,2.565854146323842,2.532929854245295,3.709895992600552,1.1769661383552565,1,0,0,10.0,1.5
31,0,full_sync,0.0,28.0,0,stay,left,1.0,0.5,110.0,100.0,80.0,250.0,68.49107090077018,184.32404761089992,66.95285591741583,186.27789484211416,2.486689433350972,4,9.2,0.8876049487749603,0.11239505122503968,2.569320701777282,2.5342916178812516,3.7160741802419675,1.181782562360716,1,0,0,10.0,1.5
32,0,full_sync,0.0,28.0,0,stay,left,1.0,0.5,110.0,100.0,70.0,250.0,63.63574855155665,183.01881332589014,61.95285591741583,184.27789484211416,2.1017644688552592,5,10.549999999999999,0.8655710299450756,0.13442897005492432,2.5762038453720972,2.5501457441585726,3.72611485326626,1.1759691091076871,0,1,0,10.0,1.5
33,0,full_sync,0.0,28.0,0,stay,left,1.0,0.5,110.0,100.0,60.0,250.0,58.88462741530982,181.0387017916581,56.95285591741583,182.27789484211416,2.295068743278554,6,11.899999999999999,0.8422360953276232,0.15776390467237675,2.586210876254948,2.557689988521446,3.7396575277509836,1.181967539229538,0,1,0,10.0,1.5
34,0,full_sync,0.0,28.0,0,stay,down,1.0,0.5,110.0,100.0,60.0,240.0,54.70729764719246,180.71555262582714,51.95285591741583,180.27789484211416,2.7889950839647297,7,13.249999999999998,0.8182247610610793,0.1817752389389206,2.6000751478046533,2.5941753255561935,3.6884209766090508,1.094245651052857,0,1,0,10.0,1.5
35,0,full_sync,0.0,28.0,0,stay,left,1.0,0.5,110.0,100.0,50.0,240.0,48.6228776139078,178.71095535650772,46.95285591741583,178.27789484211416,1.725257625944808,8,14.599999999999998,0.7977181703416242,0.20228182965837582,2.6217317600890953,2.618912999022057,3.707810247221238,1.0888972481991812,0,1,0,10.0,1.5
36,0,full_sync,0.0,28.0,0,stay,left,1.0,0.5,110.0,100.0,40.0,240.0,44.23058953069639,176.77954948124082,41.95285591741583,176.27789484211416,2.332322402676228,9,15.949999999999998,0.7734522745939785,0.2265477254060215,2.6455343439434134,2.6382263877827805,3.7300441189832125,1.091817731200432,0,1,0,10.0,1.5
37,0,full_sync,0.0,28.0,0,stay,left,1.0,0.5,110.0,100.0,30.0,240.0,40.37829974433719,174.51221154955138,36.95285591741583,174.27789484211416,3.4334486643574365,10,17.299999999999997,0.7480747405051957,0.2519252594948042,2.6708698692184845,2.6494858171192543,3.7544428498866838,1.1049570327674296,0,1,0,10.0,1.5
38,0,full_sync,0.0,28.0,0,stay,down,1.0,0.5,110.0,100.0,30.0,230.0,34.56709680088163,173.20862013345723,31.95285591741583,172.27789484211416,2.77497837193908,11,18.65,0.7266562986631371,0.2733437013368629,2.7022682982783923,2.6965994939336735,3.709895992600552,1.0132964986668784,0,1,0,10.0,1.5
39,0,full_sync,0.0,28.0,0,right,left,1.0,0.5,120.0,100.0,20.0,230.0,27.348777072902493,170.82801309570377,26.95285591741583,170.27789484211416,0.6777784699253634,12,20.0,0.7084749984426679,0.2915250015573321,2.7573360666702564,2.7605894726011875,3.6955333474309606,0.9349438748297733,0,1,0,20.0,1.5
40,0,full_sync,0.0,28.0,0,stay,left,1.0,0.5,120.0,100.0,10.0,230.0,24.241640760111807,168.84900796696306,21.95285591741583,168.27789484211416,2.3589629623055774,13,21.35,0.6817923333348124,0.31820766666518757,2.7935042481761814,2.7817315843313604,3.7260536955232917,0.9443221111919314,0,1,0,10.0,1.5
41,0,full_sync,0.0,28.0,0,stay,down,1.0,0.5,120.0,100.0,10.0,220.0,19.52785214820173,166.08772310465832,16.95285591741583,166.27789484211416,2.582009077886552,14,22.700000000000003,0.6583904795747553,0.34160952042524473,2.83070692576245,2.8104296229764167,3.687885694998447,0.8774560720220302,0,1,0,10.0,1.5
42,0,full_sync,0.0,28.0,0,stay,left,1.0,0.5,120.0,100.0,0.0,220.0,14.509302660057347,163.97396403108377,11.952855917415832,164.27789484211416,2.5744502104053226,15,24.050000000000004,0.635507487026588,0.36449251297341195,2.8731759508615875,2.8506104687974085,3.7226206281336904,0.872010159336282,0,1,0,10.0,1.5
43,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,100.0,0.0,220.0,10.995971807296986,161.16589815698748,6.952855917415832,162.27789484211416,4.193247277080403,16,25.400000000000006,0.6089651936265691,0.3910348063734309,2.8909738240792957,2.851130409481403,3.7226206281336904,0.8714902186522874,0,1,0,0.0,1.5
44,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,100.0,0.0,220.0,3.7865608902846777,159.4912190563001,1.9528559174158318,160.27789484211416,1.995327722332874,17,26.750000000000007,0.591010512624751,0.408989487375249,2.9066174900969344,2.887468041002698,3.7226206281336904,0.8351525871309927,0,1,0,0.0,1.5
45,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,100.0,0.0,220.0,0.026573537918376466,156.94028661227435,0.0,158.27789484211416,1.33787216483964,18,28.10000000000001,0.5695897876291107,0.4304102123708892,2.901461162390922,2.889433291570728,3.7226206281336904,0.8331873365629627,0,1,0,0.0,1.5
46,0,full_sync,0.0,28.0,0,stay,down,1.0,0.5,120.0,100.0,0.0,210.0,0.0,154.08202913427533,0.0,156.27789484211416,2.195865707838834,19,29.45000000000001,0.5447593021573626,0.45524069784263743,2.904612977667417,2.886621689290635,3.687885694998447,0.801264005707812,0,1,0,10.0,1.5
47,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,100.0,0.0,210.0,0.0,151.63222223079435,0.0,154.27789484211416,2.64567261131981,20,30.80000000000001,0.5208472366245305,0.4791527633754696,2.8882398079828597,2.8661736155454656,3.687885694998447,0.8217120794529812,0,1,0,0.0,1.5
48,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,100.0,0.0,210.0,0.0,147.74620897445288,0.0,152.27789484211416,4.531685867661281,21,32.15000000000001,0.5112037067977622,0.4887962932022379,2.871599638110045,2.833006626806152,3.687885694998447,0.8548790681922949,0,1,0,0.0,1.5
49,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,100.0,0.0,210.0,0.0,146.37682197660368,0.0,150.27789484211416,3.9010728655104856,22,33.500000000000014,0.5072225860526014,0.49277741394739866,2.8547110038265706,2.8211281808161157,3.687885694998447,0.866757514182331,0,1,0,0.0,1.5
50,0,full_sync,0.0,28.0,0,up,down,1.0,0.5,120.0,110.0,0.0,200.0,0.0,143.55758815461988,0.0,148.27789484211416,4.720306687494286,23,34.850000000000016,0.4999793099531378,0.5000206900468622,2.878394662796526,2.842611325498847,3.6971782709259067,0.8545669454270597,0,1,0,20.0,1.5
51,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,110.0,0.0,200.0,0.0,142.3471709450551,0.0,146.27789484211416,3.9307238970590674,24,36.20000000000002,0.49635587123161706,0.5036441287683829,2.863363671703166,2.833275109733563,3.6971782709259067,0.8639031611923433,0,1,0,0.0,1.5
52,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,110.0,0.0,200.0,0.0,139.75370463485956,0.0,144.27789484211416,4.524190207254605,25,37.55000000000002,0.48962057203367704,0.510379427966323,2.848138474332469,2.813086551192998,3.6971782709259067,0.8840917197329083,0,1,0,0.0,1.5
53,0,full_sync,0.0,28.0,0,stay,down,1.0,0.5,120.0,110.0,0.0,190.0,0.0,137.3137618640409,0.0,142.27789484211416,4.964132978073252,26,38.90000000000002,0.48323070079933506,0.5167692992006649,2.8528916127157733,2.8181947144052515,3.66310815366494,0.8449134392596888,0,1,0,10.0,1.5
54,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,110.0,0.0,190.0,0.0,136.75453555536723,0.0,140.27789484211416,3.5233592867469383,27,40.25000000000002,0.4810724416048193,0.5189275583951807,2.839050247681175,2.81421860753837,3.66310815366494,0.8488895461265699,0,1,0,0.0,1.5
55,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,110.0,0.0,190.0,0.0,134.35819916538782,0.0,138.27789484211416,3.9196956767263487,28,41.60000000000002,0.4747806847273657,0.5252193152726343,2.8250200361850784,2.7970489832053476,3.66310815366494,0.8660591704595926,0,1,0,0.0,1.5
56,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,110.0,0.0,190.0,0.0,132.38652434483367,0.0,136.27789484211416,3.891370497280491,29,42.950000000000024,0.4694444163811188,0.5305555836188812,2.810820114579312,2.7827797900267632,3.66310815366494,0.880328363638177,0,1,0,0.0,1.5
57,0,full_sync,0.0,28.0,0,stay,down,1.0,0.5,120.0,110.0,0.0,180.0,0.0,129.88745118599377,0.0,134.27789484211416,4.3904436561203966,30,44.300000000000026,0.4629215017737289,0.5370784982262711,2.8172687648412063,2.7890645034872508,3.630640965165154,0.8415764616779032,0,1,0,10.0,1.5
58,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,110.0,0.0,180.0,0.0,126.85432026387689,0.0,132.27789484211416,5.423574578237279,31,45.65000000000003,0.455196957198966,0.544803042801034,2.804519983185513,2.7691598650406775,3.630640965165154,0.8614811001244768,0,1,0,0.0,1.5
59,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,110.0,0.0,180.0,0.0,124.22378862246882,0.0,130.27789484211416,6.054106219645348,32,47.00000000000003,0.4483782610057978,0.5516217389942022,2.791603932015795,2.7516792282291265,3.630640965165154,0.8789617369360274,0,1,0,0.0,1.5
60,0,full_sync,0.0,28.0,0,stay,down,1.0,0.5,120.0,110.0,0.0,170.0,0.0,120.99983688291387,0.0,128.27789484211416,7.2780579592002965,33,48.35000000000003,0.4402243695917992,0.5597756304082008,2.7988953725149988,2.7566871625073066,3.6007373095810786,0.8440501470737722,0,1,0,10.0,1.5
61,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,110.0,0.0,170.0,0.0,118.29734623414213,0.0,126.27789484211416,7.98054860797204,34,49.70000000000003,0.4332437656320628,0.5667562343679372,2.7875047649750697,2.740562046463685,3.6007373095810786,0.8601752631173933,0,1,0,0.0,1.5
62,0,full_sync,0.0,28.0,0,stay,stay,1.0,0.5,120.0,110.0,0.0,170.0,0.0,115.68121210613843,0.0,124.27789484211416,8.596682735975733,35,51.05000000000003,0.43065746384405457,0.5693425361559454,2.7759468924408868,2.7247852350403226,3.6007373095810786,0.875952074540756,0,1,0,0.0,1.5
63,0,full_sync,0.0,28.0,0,stay,down,1.0,0.5,120.0,110.0,0.0,160.0,0.0,111.85058592065073,0.0,122.27789484211416,10.427308921463435,36,52.400000000000034,0.42653855492670734,0.5734614450732927,2.784841278465146,2.7311993483460135,3.574409626046819,0.8432102777008053,0,1,0,10.0,1.5
